SynId,KeyWord,Gloss,ParentId,SonId
SID-00020671-V,mesmerize,"induce hypnosis in",NULL,NULL
SID-00020926-V,spellbind,"put into a trance",NULL,NULL
SID-00021065-V,put_under,"administer an anesthetic drug to ""The patient must be anesthetized before the operation"" ""anesthetize the gum before extracting the teeth""",NULL,NULL
SID-00021554-V,etherize,"anesthetize with ether",NULL,NULL
SID-00021679-V,cocainize,"anesthetize with cocaine",NULL,NULL
SID-00021826-V,chloroform,"anesthetize with chloroform ""Doctors used to put people under by chloroforming them""",NULL,NULL
SID-00021997-V,freeze,"anesthetize by cold",NULL,NULL
SID-00022099-V,bring_to,"return to consciousness ""These pictures bring back sad memories""",NULL,NULL
SID-00022316-V,tranquillize,"cause to be calm or quiet as by administering a sedative to ""The patient must be sedated before the operation""",NULL,NULL
SID-00022686-V,stimulate,"cause to be alert and energetic ""Coffee and tea stimulate me"" ""This herbal infusion doesn't stimulate""",NULL,NULL
SID-00023244-V,de-energize,"deprive of energy",NULL,NULL
SID-00023380-V,cathect,"inject with libidinal energy",NULL,NULL
SID-00023473-V,pick_up,"gain or regain energy ""I picked up after a nap""",NULL,NULL
SID-00023646-V,swoon,"pass out from weakness physical or emotional distress due to a loss of blood supply to the brain",NULL,NULL
SID-00023868-V,zonk_out,"lose consciousness due to a sudden trauma for example",NULL,NULL
SID-00024047-V,revive,"return to consciousness ""The patient came to quickly"" ""She revived after the doctor gave her an injection""",NULL,NULL
SID-00024279-V,vivify,"give new life or energy to ""A hot soup will revive me"" ""This will renovate my spirits"" ""This treatment repaired my health""",NULL,NULL
SID-00024649-V,refreshen,"make fresh again",NULL,NULL
SID-00024814-V,refreshen,"become or make oneself fresh again ""She freshened up after the tennis game""",NULL,NULL
SID-00025034-V,wash_up,"wash one's face and hands ""She freshened up in the bathroom""",NULL,NULL
SID-00025203-V,tense_up,"cause to be tense and uneasy or nervous or anxious ""he got a phone call from his lawyer that tensed him up""",NULL,NULL
SID-00025510-V,crick,"twist (a body part) into a strained position ""crick your neck""",NULL,NULL
SID-00025654-V,unwind,"cause to feel relaxed ""A hot bath always relaxes me""",NULL,NULL
SID-00025985-V,unbend,"release from mental strain tension or formality ""unbend the mind from absorbing too much information""",NULL,NULL
SID-00026153-V,tense_up,"become tense nervous or uneasy ""He tensed up when he saw his opponent enter the room""",NULL,NULL
SID-00026385-V,unwind,"become less tense rest or take one's ease ""He relaxed in the hot tub"" ""Let's all relax after a hard day's work""",NULL,NULL
SID-00026734-V,vegetate,"engage in passive relaxation ""After a hard day's work I vegetate in front of the television""",NULL,NULL
SID-00026941-V,take_it_easy,"settle into a comfortable sitting position",NULL,NULL
SID-00027064-V,warm_up,"make one's body limber or suppler by stretching as if to prepare for strenuous physical activity",NULL,NULL
SID-00027268-V,stretch,"extend one's limbs or muscles or the entire body ""Stretch your legs!"" ""Extend your right arm above your head""",NULL,NULL
SID-00027570-V,spread-eagle,"stretch out completely ""They spread-eagled him across the floor""",NULL,NULL
SID-00027705-V,stretch_out,"thrust or extend out ""He held out his hand"" ""point a finger"" ""extend a hand"" ""the bee exserted its sting""",NULL,NULL
SID-00028010-V,hyperextend,"extend a joint beyond its normal range ""Don't hyperextend your elbow""",NULL,NULL
SID-00028167-V,stretch_out,"stretch (the neck) so as to see better ""The women craned their necks to see the President drive by""",NULL,NULL
SID-00028362-V,reinvigorate,"impart vigor strength or vitality to ""Exercise is invigorating""",NULL,NULL
SID-00028565-V,smile,"change one's facial expression by spreading the lips often to signal pleasure",NULL,NULL
SID-00028876-V,dimple,"produce dimples while smiling ""The child dimpled up to the adults""",NULL,NULL
SID-00029025-V,grin,"to draw back the lips and reveal the teeth in a smile grimace or snarl",NULL,NULL
SID-00029214-V,beam,"smile radiantly express joy through one's facial expression",NULL,NULL
SID-00029336-V,smirk,"smile affectedly or derisively",NULL,NULL
SID-00029518-V,fleer,"to smirk contemptuously",NULL,NULL
SID-00029630-V,bray,"laugh loudly and harshly",NULL,NULL
SID-00029742-V,bellylaugh,"laugh a deep hearty laugh",NULL,NULL
SID-00029836-V,roar,"laugh unrestrainedly and heartily",NULL,NULL
SID-00030010-V,snigger,"laugh quietly",NULL,NULL
SID-00030142-V,titter,"laugh nervously ""The girls giggled when the rock star came into the classroom""",NULL,NULL
SID-00030366-V,crack_up,"laugh unrestrainedly",NULL,NULL
SID-00030463-V,break,"weaken or destroy in spirit or body ""His resistance was broken"" ""a man broken by the terrible experience of near-death""",NULL,NULL
SID-00030647-V,collapse,"collapse due to fatigue an illness or a sudden attack",NULL,NULL
SID-00030853-V,drop_like_flies,"rapidly collapse die or drop out in large numbers ""the contestants dropped like flies when the thermometer hit one hundred degrees""",NULL,NULL
SID-00031068-V,cramp,"suffer from sudden painful contraction of a muscle",NULL,NULL
